Name,Prices,Ratings,Links,ASIN,Manufacturer,Descriptions,Product Descriptions
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,698,4.1,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-15,B0BPVLXD53,ADISA,Computers & Accessories,
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,099",,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-16,B097JHQH13,Safari,Computers & Accessories,
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1685159913&sprefix=ba%2Caps%2C283&sr=8-17,B019HA8AYG,Gear Merchandise PVT LTD,"Bags, Wallets and Luggage",
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1685159913&sprefix=ba%2Caps%2C283&sr=8-18,B07G4F6XFH,Gear Merchandise PVT LTD,Computers & Accessories,
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,199",,https://www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685159913&sprefix=ba%2Caps%2C283&sr=8-19,B09B26VHXV,Safari Industries,Computers & Accessories,
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",649,,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685159913&sprefix=ba%2Caps%2C283&sr=8-20,B097RJ22Q3,Bagzone Lifestyle Pvt Ltd,Computers & Accessories,
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,189,3.7,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1685159913&sprefix=ba%2Caps%2C283&sr=8-21,B09VCLZ3K4,Amazing Bags,"Bags, Wallets and Luggage",
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",598,,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1685159913&sprefix=ba%2Caps%2C283&sr=8-22,B081GSQ9D9,POLESTAR,Computers & Accessories,
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,988,,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1685159913&sprefix=ba%2Caps%2C283&sr=8-23,B09B25Z8M2,Safari Industries,Computers & Accessories,
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,3.8,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1685159913&sprefix=ba%2Caps%2C283&sr=8-24,B09B28TKLG,Safari Industries,"Bags, Wallets and Luggage",
